	vg_image_id	vg_object_id	link_mn	domain	topname	responses	total_responses	split	topname_agreement	jaccard_similarity	raw_responses
14	32	1058643	http://object-naming-amore.upf.edu//32_1058643_seed_ambiguous.png	casa	armaris	{'armaris': 5, 'armaris de cuina': 2, 'armari': 2, 'mobles de cuina': 1}	10	test	0.5	0.25	{'armaris': 5, 'armaris de cuina': 2, 'armari': 2, 'mobles de cuina alts': 1}
37	160	1058761	http://object-naming-amore.upf.edu//160_1058761_supercat_unique.png	roba	vestit	{'vestit': 8, 'persona': 1}	9	test	0.8888888888888888	0.3333333333333333	{'vestit': 6, 'lila': 1, 'persona': 1, 'vestit fúcsia': 1, 'trajo': 1}
60	308	1026902	http://object-naming-amore.upf.edu//308_1026902_singleton_obj.png	edificis	pont	{'pont': 8, 'camí': 1, 'vorera': 1}	10	test	0.8	0.6666666666666666	{'pont': 8, 'camí': 1, 'vorera': 1}
83	474	1027776	http://object-naming-amore.upf.edu//474_1027776_seed_ambiguous.png	casa	taula	{'taula': 10}	10	test	1.0	0.5	{'taula': 10}
98	535	1625749	http://object-naming-amore.upf.edu//535_1625749_singleton_obj.png	casa	taula	{'taula': 8, 'papers': 1, 'fulls': 1}	10	test	0.8	0.3333333333333333	{'taula': 7, 'papers': 1, 'taula de fusta': 1, 'fulls': 1}
105	556	1063956	http://object-naming-amore.upf.edu//556_1063956_seed_ambiguous.png	casa	catifa	{'catifa': 6, 'taula': 2, 'mobles': 1, 'butaca': 1}	10	test	0.6	0.25	{'catifa': 5, 'taula': 2, 'mobles': 1, 'alfombra': 1, 'silló': 1}
115	625	1624182	http://object-naming-amore.upf.edu//625_1624182_singleton_obj.png	vehicles	cotxe	{'cotxe': 8, 'bicicleta': 1, 'vehicle': 1}	10	test	0.8	0.25	{'cotxe': 7, 'bicicleta': 1, 'cotxe negre': 1, 'vehicle': 1}
125	691	3788097	http://object-naming-amore.upf.edu//691_3788097_singleton_obj.png	animals_plantes	guepard	{'guepard': 7, 'tigre': 1, 'lleopard': 1, 'jaguar': 1}	10	test	0.7	0.5	{'guepard': 6, 'tigre': 1, 'leopard': 1, 'jaguar': 1, 'gepard': 1}
162	1045	3634770	http://object-naming-amore.upf.edu//1045_3634770_seed_ambiguous.png	casa	taula	{'taula': 10}	10	test	1.0	1.0	{'taula': 8, 'taula de restaurant': 1, 'taula parada': 1}
174	1074	3634844	http://object-naming-amore.upf.edu//1074_3634844_singleton_obj.png	edificis	casa	{'casa': 8, 'vivenda': 1, 'cases': 1}	10	test	0.8	0.25	{'casa': 8, 'vivenda': 1, 'cases': 1}
183	1132	3568945	http://object-naming-amore.upf.edu//1132_3568945_singleton_obj.png	casa	barra	{'barra': 4, 'taulell': 4, 'marbre de cuina': 1, 'marbre': 1}	10	test	0.4	0.2	{'barra': 4, 'taulell': 4, 'marbre de cuina': 1, 'marbre': 1}
224	1375	1066955	http://object-naming-amore.upf.edu//1375_1066955_seed_ambiguous.png	gent	guitarrista	{'guitarrista': 7, 'músic': 2, 'guitarra': 1}	10	test	0.7	0.16666666666666666	{'guitarrista': 7, 'músic': 2, 'guitarra': 1}
259	1590	3637049	http://object-naming-amore.upf.edu//1590_3637049_seed_ambiguous.png	casa	taula	{'taula': 7, 'terra': 1, 'moqueta': 1, 'cadires': 1}	10	test	0.7	0.2	{'taula': 6, 'terra': 1, 'taula blanca': 1, 'moqueta': 1, 'cadires': 1}
272	1687	1544793	http://object-naming-amore.upf.edu//1687_1544793_seed_ambiguous.png	casa	cadira	"{'cadira': 8, ""cadira d'oficina"": 1, 'respatller': 1}"	10	test	0.8	0.6666666666666666	"{'cadira': 8, ""cadira d'oficina"": 1, 'respatller': 1}"
361	2611	1649143	http://object-naming-amore.upf.edu//2611_1649143_singleton_obj.png	animals_plantes	ocell	{'ocell': 10}	10	test	1.0	1.0	{'ocell': 9, 'ocell negre': 1}
370	2657	1069343	http://object-naming-amore.upf.edu//2657_1069343_singleton_obj.png	animals_plantes	búfal	{'búfal': 4, 'nyu': 3, 'bou': 2, 'iac': 1}	10	test	0.4	0.25	{'búfal': 4, 'bou': 2, 'nyu': 2, 'yak': 1, 'nyú': 1}
412	3611	1554968	http://object-naming-amore.upf.edu//3611_1554968_supercat_unique.png	animals_plantes	cavall	{'cavall': 8, 'genet': 1, 'geneta': 1}	10	test	0.8	0.3333333333333333	{'cavall': 8, 'genet': 1, 'jeneta': 1}
440	3966	3794619	http://object-naming-amore.upf.edu//3966_3794619_supercat_unique.png	casa	taula	{'taula': 5, 'escriptori': 2, 'dibuix': 1, 'taula de dibuix': 1, 'pintura': 1}	10	test	0.5	0.2857142857142857	{'taula': 5, 'escriptori': 2, 'dibuix': 1, 'taula de dibuix': 1, 'pintura': 1}
476	4257	3585092	http://object-naming-amore.upf.edu//4257_3585092_singleton_obj.png	edificis	casa	{'casa': 5, 'edifici': 3, 'palau': 1, 'façana': 1}	10	test	0.5	0.5	{'casa': 4, 'edifici': 3, 'palau': 1, 'façana': 1, 'casa antiga': 1}
